,StationCode,Station,StationName,Latitude,Longitude,HUC12,HUCName,County,State,Organization
23,ACB.A5,,A5,38.0279,-77.2329,20801050401,Jacks Creek-Maracossic Creek,Caroline County,VA,1
24,ACB.AIMCRE0.5,,AIMCRE0.5,38.126737,-76.6548027,20700110803,Lower Machodoc Creek-Frontal Potomac River,Westmoreland County,VA,1
25,ACB.ALBCRE0.5,,ALBCRE0.5,37.497009999999996,-77.43906,20802060101,Almond Creek-James River,Richmond city,VA,1
26,ACB.ARF,,ARF,37.30734,-78.389257,20802070206,Bad Luck Branch-Appomattox River,Cumberland County,VA,1
27,ACB.B1,,B1,38.4478,-77.39237,20700110203,Lower Aquia Creek,Stafford County,VA,1
28,ACB.B2,,B2,38.44778,-77.38811,20700110203,Lower Aquia Creek,Stafford County,VA,1
29,ACB.B3,,B3,38.449459999999995,-77.38381,20700110203,Lower Aquia Creek,Stafford County,VA,1
30,ACB.B4,,B4,38.450829999999996,-77.383403,20700110203,Lower Aquia Creek,Stafford County,VA,1
31,ACB.BLACRE0.6,,BLACRE0.6,37.407041299999996,-76.6481492,20801070104,Skimino Creek-York River,Gloucester County,VA,1
32,ACB.BR1,,BR1,37.9824,-79.55068,20802020108,Guys Run-Calfpasture River,Rockbridge County,VA,1
33,ACB.BUFCRE10,,BUFCRE10,37.7425,-79.5066,20802020505,Buffalo Creek,Rockbridge County,VA,1
34,ACB.BUFCRE12.5,,BUFCRE12.5,37.7568,-79.5431,20802020504,Colliers Creek,Rockbridge County,VA,1
35,ACB.BURPON1,,BURPON1,37.4824901,-76.4582484,20801020404,North River,Gloucester County,VA,1
36,ACB.BUSMILCRE,,BUSMILCRE,37.8750643,-76.441372,20801020102,Great Wicomico River,Northumberland County,VA,1
37,ACB.CB1,,CB1,37.512609999999995,-77.48008,20802050607,Little Westham Creek-James River,Richmond city,VA,1
38,ACB.CB2,,CB2,37.5139,-77.48058,20802050607,Little Westham Creek-James River,Richmond city,VA,1
39,ACB.CEDCRE2.4,,CEDCRE2.4,37.630703600000004,-79.5481695,20802011504,Spring Gap Creek-Cedar Creek,Rockbridge County,VA,1
40,ACB.CGC01,,CGC01,37.8828,-79.3859,20802020301,Alone Mill Creek-Maury River,Rockbridge County,VA,1
41,ACB.CHIRIV22,,CHIRIV22,37.6802779,-77.4550473,20802060402,Stony Run-Chickahominy River,Henrico County,VA,1
42,ACB.CM1,,CM1,38.343494,-77.1682215,20700110303,Chotank Creek-Potomac River,King George County,VA,1
43,ACB.CM2,,CM2,38.343805100000004,-77.170389,20700110303,Chotank Creek-Potomac River,King George County,VA,1
44,ACB.COARIV3.0,,COARIV3.0,37.9581,-76.48241999999998,20700110805,Coan River,Northumberland County,VA,1
45,ACB.COLCRE0.5,,COLCRE0.5,37.7626,-79.54902,20802020504,Colliers Creek,Rockbridge County,VA,1
46,ACB.COVRUN0.1,,COVRUN0.1,37.908069399999995,-79.4265595,20802020203,Taylor Branch-Maury River,Rockbridge County,VA,1
47,ACB.CP1,,CP1,38.08138889,-76.84611111,20801040401,The Big Swamp-Cat Point Creek,Richmond County,VA,1
48,ACB.CP2,,CP2,38.03916667,-76.8275,20801040402,Menokin Bay-Cat Point Creek,Richmond County,VA,1
49,ACB.CP4,,CP4,37.98388889,-76.80944444,20801040402,Menokin Bay-Cat Point Creek,Richmond County,VA,1
50,ACB.CP8,,CP8,37.97444444,-76.85388889,20801040402,Menokin Bay-Cat Point Creek,Richmond County,VA,1
51,ACB.CR1,,CR1,37.6251,-77.4942,20802060403,Upham Brook,Henrico County,VA,1
52,ACB.CR21,,CR21,37.419912,-76.97541,20802060506,Big Swamp-Chickahominy River,New Kent County,VA,1
53,ACB.CR5,,CR5,37.6057,-77.5455,20802060403,Upham Brook,Henrico County,VA,1
54,ACB.CRAMILCRE,,CRAMILCRE,37.87844000000001,-76.4399417,20801020102,Great Wicomico River,Northumberland County,VA,1
55,ACB.DC1,,DC1,37.6179,-77.98983299999998,20802050405,Sallee Creek-Deep Creek,Powhatan County,VA,1
56,ACB.DEEPRUN_FA,,DEEPRUN_FA,38.2518,-77.4911,20801040102,Hazel Run-Rappahannock River,Spotsylvania County,VA,1
57,ACB.DR,,DR,37.5605011,-76.57189941,20801020301,Carvers Creek-Piankatank River,Gloucester County,VA,1
58,ACB.DR3,,DR3,37.63527778,-76.69638889,20801020204,Meggs Bay-Dragon Swamp,King and Queen County,VA,1
59,ACB.DR6,,DR6,37.69638889,-76.72722222,20801020203,Timber Branch Swamp-Dragon Swamp,Middlesex County,VA,1
60,ACB.DR8,,DR8,37.55611111,-76.53305556,20801020301,Carvers Creek-Piankatank River,Gloucester County,VA,1
61,ACB.DR9,,DR9,37.58555556,-76.60305556,20801020204,Meggs Bay-Dragon Swamp,Gloucester County,VA,1
62,ACB.EASRIV2.75,,EASRIV2.75,37.4029071,-76.34639150000002,20801020405,East River,Mathews County,VA,1
63,ACB.ENGRUN,,ENGRUN,38.3318,-77.5071,20801040102,Hazel Run-Rappahannock River,Stafford County,VA,1
64,ACB.FOR-Kinsey1,,FOR-Kinsey1,38.422793,-78.374048,20801030701,Garth Run-Rapidan River,Madison County,VA,1
65,ACB.FOR-Kinsey2,,FOR-Kinsey2,38.423120000000004,-78.37226700000002,20801030701,Garth Run-Rapidan River,Madison County,VA,1
66,ACB.FOR1,,FOR1,38.2898,-77.4816,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
67,ACB.FOR11,,FOR11,38.27315,-77.53598000000002,20801040102,Hazel Run-Rappahannock River,Spotsylvania County,VA,1
68,ACB.FOR12,,FOR12,38.26762772,-77.50488281,20801040102,Hazel Run-Rappahannock River,Spotsylvania County,VA,1
69,ACB.FOR13,,FOR13,38.28559113,-77.49178314,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
70,ACB.FOR14,,FOR14,38.20449829,-77.45950317,20801050105,Poni River,Spotsylvania County,VA,1
71,ACB.FOR16,,FOR16,38.348611,-77.580556,20801040101,Motts Run Reservoir-Rappahannock River,Stafford County,VA,1
72,ACB.FOR17,,FOR17,38.313611,-77.54055600000002,20801040101,Motts Run Reservoir-Rappahannock River,Spotsylvania County,VA,1
73,ACB.FOR18,,FOR18,38.321111,-77.488889,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
74,ACB.FOR2,,FOR2,38.3188,-77.4859,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
75,ACB.FOR4,,FOR4,38.1902,-77.20100000000002,20801040203,Goldenvale Creek-Rappahannock River,King George County,VA,1
76,ACB.FOR6,,FOR6,38.29230118,-77.45659637,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
77,ACB.FOR7,,FOR7,38.29109955,-77.50589752,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
78,ACB.FOR8,,FOR8,38.2566,-77.4158,20801040102,Hazel Run-Rappahannock River,Stafford County,VA,1
79,ACB.FOR9,,FOR9,38.30410004,-77.49259949,20801040102,Hazel Run-Rappahannock River,Fredericksburg city,VA,1
80,ACB.GC,,GC,37.46921,-77.45798,20802060102,Falling Creek,Richmond city,VA,1
81,ACB.GIL02,,GIL02,37.5278854,-77.39284520000002,20802060101,Almond Creek-James River,Richmond city,VA,1
82,ACB.GIL03,,GIL03,37.522728,-77.416358,20802060101,Almond Creek-James River,Richmond city,VA,1
83,ACB.GP1,,GP1,36.9952984,-76.5824258,20802060904,Jones Creek-Pagan River,Isle of Wight County,VA,1
84,ACB.GP3,,GP3,37.9824,-79.23625,20700050701,Stony Run-South River,Augusta County,VA,1
85,ACB.GW1,,GW1,37.87110901,-76.43110657,20801020102,Great Wicomico River,Northumberland County,VA,1
86,ACB.HALCRE0.72,,HALCRE0.72,37.2408,-76.6916,20802060801,College Creek,James City County,VA,1
87,ACB.HALCRE3,,HALCRE3,37.239145,-76.664161,20802060801,College Creek,James City County,VA,1
88,ACB.HAYCRE1.45,,HAYCRE1.45,37.911234,-79.40021,20802020205,Hays Creek,Rockbridge County,VA,1
89,ACB.HAYCRE2.45,,HAYCRE2.45,37.93414,-79.34192,20802020205,Hays Creek,Rockbridge County,VA,1
90,ACB.HAYCRE3.5,,HAYCRE3.5,37.925606,-79.387617,20802020205,Hays Creek,Rockbridge County,VA,1
91,ACB.HAZRUN,,HAZRUN,38.27963,-77.49982800000002,20801040102,Hazel Run-Rappahannock River,Spotsylvania County,VA,1
92,ACB.HC,,HC,37.598659999999995,-77.4263,20802060501,Powhite Creek-Chickahominy River,Henrico County,VA,1
93,ACB.HGC,,HGC,37.64886,-77.49663000000002,20802060403,Upham Brook,Henrico County,VA,1
94,ACB.HR2,,HR2,36.85599899,-76.29419708,20802080206,Elizabeth River,Norfolk city,VA,1
95,ACB.HSC01,,HSC01,37.598659999999995,-77.4263,20802060501,Powhite Creek-Chickahominy River,Henrico County,VA,1
96,ACB.JOR1,,JOR1,37.597255,-77.473902,20802060403,Upham Brook,Richmond city,VA,1
97,ACB.JP,,JP,38.363890500000004,-77.1422058,20700110303,Chotank Creek-Potomac River,King George County,VA,1
98,ACB.JRB,,JRB,37.6244,-77.9831,20802050403,Picketts Creek Reservoir-James River,Powhatan County,VA,1
99,ACB.JRRC,,JRRC,37.52577,-77.42113,20802060101,Almond Creek-James River,Richmond city,VA,1
100,ACB.JRTP,,JRTP,37.6652,-77.886667,20802050504,Mohawk Creek-James River,Goochland County,VA,1
101,ACB.LILTOT,,LILTOT,37.9262344,-76.71997990000001,20801040501,Little Totuskey Creek,Richmond County,VA,1
102,ACB.LMC,,LMC,38.11827,-76.635814,20700110803,Lower Machodoc Creek-Frontal Potomac River,Westmoreland County,VA,1
103,ACB.LWC,,LWC,37.56807,-77.53628,20802050607,Little Westham Creek-James River,Henrico County,VA,1
104,ACB.MANCAN,,MANCAN,37.525859999999994,-77.43108000000002,20802050607,Little Westham Creek-James River,Richmond city,VA,1
105,ACB.MAT3,,MAT3,37.9080349,-77.2992656,20801050303,Union Swamp-Mattaponi River,Caroline County,VA,1
106,ACB.MATCRE3.9,,MATCRE3.9,38.2047463,-77.00086429999998,20700110603,Mattox Creek,Westmoreland County,VA,1
107,ACB.MB,,MB,37.6707494,-77.5477697,20802060401,Grassy Swamp Creek-Chickahominy River,Henrico County,VA,1
108,ACB.MILCRE2.5,,MILCRE2.5,37.791107200000006,-76.3313772,20801020104,Dividing Creek-Frontal Chesapeake Bay,Northumberland County,VA,1
109,ACB.MILCRE3.65,,MILCRE3.65,37.246109999999994,-76.75265999999998,20802060704,Lower Chippokes Creek-James River,James City County,VA,1
110,ACB.MILCRE3.9,,MILCRE3.9,37.8001956,-76.3507398,20801020104,Dividing Creek-Frontal Chesapeake Bay,Northumberland County,VA,1
111,ACB.MJBC,,MJBC,37.389117999999996,-79.199409,20802030304,Blackwater Creek,Lynchburg city,VA,1
112,ACB.MJIC,,MJIC,37.419603,-79.223732,20802030303,Cheese Creek-Ivy Creek,Lynchburg city,VA,1
113,ACB.MJJC,,MJJC,37.46872800000001,-79.210095,20802030301,Judith Creek-James River,Bedford County,VA,1
114,ACB.MJTR,,MJTR,37.63453,-78.90417,20802030701,Brown Creek-Tye River,Nelson County,VA,1
115,ACB.MM,,MM,38.34766370000001,-77.1578686,20700110303,Chotank Creek-Potomac River,King George County,VA,1
116,ACB.MOFCRE0.6,,MOFCRE0.6,37.9508,-79.29895,20802020205,Hays Creek,Rockbridge County,VA,1
117,ACB.MOURUN1,,MOURUN1,37.874,-79.37899999999998,20802020301,Alone Mill Creek-Maury River,Rockbridge County,VA,1
118,ACB.MUD1,,MUD1,38.258294,-77.339088,20801040104,Muddy Creek-Rappahannock River,King George County,VA,1
119,ACB.Maymont,,Maymont,37.53619000000001,-77.4788,20802050607,Little Westham Creek-James River,Richmond city,VA,1
120,ACB.NORRUN0.7,,NORRUN0.7,37.6218822,-77.46325999999998,20802060403,Upham Brook,Henrico County,VA,1
121,ACB.NR1,,NR1,37.6377352,-77.47743129999998,20802060403,Upham Brook,Henrico County,VA,1
122,ACB.Newtown,,Newtown,37.282,-76.7413,20802060702,Powhatan Creek,James City County,VA,1
123,ACB.PAMRIV82,,PAMRIV82,37.788696,-77.370077,20801060901,Mechumps Creek-Pamunkey River,Caroline County,VA,1
124,ACB.PC,,PC,37.596892,-77.46910600000002,20802060403,Upham Brook,Richmond city,VA,1
125,ACB.PC2,,PC2,38.5357,-76.5288,20600040403,Parkers Creek-Frontal Chesapeake Bay,Calvert County,MD,1
126,ACB.PEC001,,PEC001,38.5388,-78.3483,20801030901,Rose River-Robinson River,Madison County,VA,1
127,ACB.PEC002,,PEC002,38.5253,-78.3494,20801030901,Rose River-Robinson River,Madison County,VA,1
128,ACB.PEC003,,PEC003,38.8066,-78.1419,20801030102,Jordan River,Rappahannock County,VA,1
129,ACB.PEC004,,PEC004,38.6941,-78.2588,20801030301,Piney River-Thornton River,Rappahannock County,VA,1
130,ACB.PEC005,,PEC005,38.8045,-78.1439,20801030102,Jordan River,Rappahannock County,VA,1
131,ACB.PEC006,,PEC006,38.7851,-78.1525,20801030102,Jordan River,Rappahannock County,VA,1
132,ACB.POC01,,POC01,37.464742,-77.499082,20802060102,Falling Creek,Chesterfield County,VA,1
133,ACB.PRC01,,PRC01,37.59697,-77.46902,20802060403,Upham Brook,Richmond city,VA,1
134,ACB.PRC02,,PRC02,37.59365,-77.46709,20802060403,Upham Brook,Richmond city,VA,1
135,ACB.PRC03,,PRC03,37.594395899999995,-77.4640283,20802060403,Upham Brook,Richmond city,VA,1
136,ACB.PSC,,PSC,37.46815,-77.50624,20802060102,Falling Creek,Richmond city,VA,1
137,ACB.PSC01,,PSC01,37.465033,-77.50010400000002,20802060102,Falling Creek,Richmond city,VA,1
138,ACB.RB6,,RB6,38.327,-77.5822,20801040101,Motts Run Reservoir-Rappahannock River,Spotsylvania County,VA,1
139,ACB.RC1,,RC1,37.51467,-77.47456,20802050607,Little Westham Creek-James River,Richmond city,VA,1
140,ACB.RC3,,RC3,37.5147872,-77.48392709999997,20802050607,Little Westham Creek-James River,Richmond city,VA,1
141,ACB.RC4,,RC4,37.506859999999996,-77.5043,20802050607,Little Westham Creek-James River,Richmond city,VA,1
142,ACB.RRMC,,RRMC,37.694915,-76.499748,20801040703,Taylor Creek-Corrotoman River,Lancaster County,VA,1
143,ACB.RSC01,,RSC01,37.55893,-77.53839,20802050607,Little Westham Creek-James River,Richmond city,VA,1
144,ACB.RSC02,,RSC02,37.543154,-77.54554399999998,20802050607,Little Westham Creek-James River,Richmond city,VA,1
145,ACB.Rapidan1,,Rapidan1,38.3591,-77.6354,20801031105,Hazel Run-Rapidan River,Spotsylvania County,VA,1
146,ACB.SA1,,SA1,37.7598,-77.61261999999998,20801060304,Cedar Creek-South Anna River,Hanover County,VA,1
147,ACB.SA2,,SA2,37.821667,-77.84527800000002,20801060204,Owens Creek-South Anna River,Louisa County,VA,1
148,ACB.SOUANNRIV1,,SOUANNRIV1,37.7998768,-77.4235976,20801060304,Cedar Creek-South Anna River,Hanover County,VA,1
149,ACB.SOURIV14,,SOURIV14,37.89281,-79.2131,20802020402,Upper South River,Rockbridge County,VA,1
150,ACB.STN01,,STN01,37.52828,-77.39319,20802060101,Almond Creek-James River,Richmond city,VA,1
151,ACB.STORUN0.04,,STORUN0.04,37.6848629,-77.44921070000002,20802060402,Stony Run-Chickahominy River,Hanover County,VA,1
152,ACB.STORUN6.2,,STORUN6.2,37.75357,-77.48935999999998,20802060402,Stony Run-Chickahominy River,Hanover County,VA,1
153,ACB.TAY2,,TAY2,37.7645,-77.64133000000002,20801060301,Taylors Creek,Hanover County,VA,1
154,ACB.TAY3,,TAY3,37.771770000000004,-77.65819,20801060301,Taylors Creek,Hanover County,VA,1
155,ACB.TB,,TB,37.62339,-77.47886,20802060403,Upham Brook,Henrico County,VA,1
156,ACB.TOT1,,TOT1,37.9129344,-76.6573787,20801040502,Totuskey Creek,Richmond County,VA,1
157,ACB.TOT2,,TOT2,37.9260343,-76.7090797,20801040502,Totuskey Creek,Richmond County,VA,1
158,ACB.TOT3,,TOT3,37.9236345,-76.72067990000002,20801040502,Totuskey Creek,Richmond County,VA,1
159,ACB.TOT4,,TOT4,37.886035799999995,-76.7362806,20801040502,Totuskey Creek,Richmond County,VA,1
160,ACB.TOT5,,TOT5,37.8798472222,-76.7395638888,20801040502,Totuskey Creek,Richmond County,VA,1
161,ACB.TOTC1,,TOTC1,37.65274,-77.31035,20801060904,Totopotomoy Creek,Hanover County,VA,1
162,ACB.UB1,,UB1,37.6146,-77.4567,20802060403,Upham Brook,Henrico County,VA,1
163,ACB.UB2,,UB2,37.59832,-77.46803,20802060403,Upham Brook,Richmond city,VA,1
164,ACB.UB3,,UB3,37.60303,-77.45975,20802060403,Upham Brook,Henrico County,VA,1
165,ACB.UB4,,UB4,37.59963,-77.48640999999998,20802060403,Upham Brook,Henrico County,VA,1
166,ACB.UNTSC,,UNTSC,37.4927111,-77.7768892,20802070901,Swift Creek Reservoir-Swift Creek,Powhatan County,VA,1
167,ACB.UT1,,UT1,37.514829999999996,-77.48533,20802050607,Little Westham Creek-James River,Richmond city,VA,1
168,ACB.WC1,,WC1,37.4923795,-76.3098561,20801020303,Milford Haven-Frontal Chesapeake Bay,Mathews County,VA,1
169,ACB.WILCRE1.5,,WILCRE1.5,37.36905,-76.48522,20801020403,Ware River,Gloucester County,VA,1
170,ACB.WINHAR,,WINHAR,37.3904139,-76.27521879999998,20801020406,Winter Harbor-Frontal Chesapeake Bay,Mathews County,VA,1
171,ACB.WOOCRE1.6,,WOOCRE1.6,37.784765500000006,-79.4499301,20802020303,Mill Creek-Maury River,Lexington city,VA,1
172,ACB.YORRIV21.5,,YORRIV21.5,37.4066902,-76.6599295,20801070104,Skimino Creek-York River,Gloucester County,VA,1
173,ACB.YORRIV7.2,,YORRIV7.2,37.2452068,-76.5026,20801070204,Sarah Creek-York River,Gloucester County,VA,1
174,ACWA.ANT0.2,,ANT0.2,39.417211,-77.74194,20700041009,Sharmans Branch-Antietam Creek,Washington County,MD,1
175,ACWA.ANT20A,,ANT20A,39.5383399,-77.70958909999997,20700041009,Sharmans Branch-Antietam Creek,Washington County,MD,1
176,ACWA.ANT20B,,ANT20B,39.537648,-77.709906,20700041009,Sharmans Branch-Antietam Creek,Washington County,MD,1
177,ACWA.ANT40,,ANT40,39.715333,-77.606724,20700041006,Antietam Creek,Washington County,MD,1
178,ACWA.BEA0.1,,BEA0.1,39.53479,-77.70855,20700041007,Beaver Creek,Washington County,MD,1
179,ACWA.BEA8.0B,,BEA8.0B,39.5832821,-77.64433829999999,20700041007,Beaver Creek,Washington County,MD,1
180,ACWA.BRC2.0,,BRC2.0,39.581375,-77.610609,20700041007,Beaver Creek,Washington County,MD,1
181,ACWA.LAC0.4-N,,LAC0.4-N,39.688547,-77.591957,20700041004,Little Antietam Creek,Washington County,MD,1
182,ACWA.LAC4.4-N,,LAC4.4-N,39.664381,-77.5361,20700041004,Little Antietam Creek,Washington County,MD,1
183,ACWA.LAC4.7-N,,LAC4.7-N,39.646363,-77.529613,20700041004,Little Antietam Creek,Washington County,MD,1
184,ACWA.LAC5.0-N,,LAC5.0-N,39.663071,-77.516278,20700041004,Little Antietam Creek,Washington County,MD,1
185,ACWA.LAN0.1,,LAN0.1,39.57151500000001,-77.68935400000002,20700041009,Sharmans Branch-Antietam Creek,Washington County,MD,1
186,ACWA.LBC2.1,,LBC2.1,39.556826,-77.647929,20700041007,Beaver Creek,Washington County,MD,1
187,ACWA.MAR0.0,,MAR0.0,39.649828,-77.688806,20700041009,Sharmans Branch-Antietam Creek,Washington County,MD,1
188,ACWA.SHA00,,SHA00,39.429621999999995,-77.73328199999997,20700041009,Sharmans Branch-Antietam Creek,Washington County,MD,1
189,ARF.Aberdeen,,Aberdeen,38.947317,-76.519136,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
190,ARF.Almshouse,,Almshouse,38.939947,-76.54674399999998,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
191,ARF.Beards,,Beards,38.938778000000006,-76.580722,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
192,ARF.Broad,,Broad,38.972871999999995,-76.57615799999998,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
193,ARF.Church,,Church,38.9639,-76.5381,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
194,ARF.Crab,,Crab,38.956828,-76.532547,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
195,ARF.Duvall,,Duvall,38.930017,-76.4835,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
196,ARF.Gingerville,,Gingerville,38.960333,-76.556067,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
197,ARF.Glebe,,Glebe,38.927347,-76.545839,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
198,ARF.Harness,,Harness,38.937,-76.510894,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
199,ARF.LittleAberdeen,,Little Aberdeen,38.947403,-76.527272,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
200,ARF.MS1,,MS1,38.895678000000004,-76.473597,20600010000,Upper Chesapeake Bay,Anne Arundel County,MD,1
201,ARF.MS1A,,MS1A,38.919578,-76.500936,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
202,ARF.MS1B,,MS1B,38.929831,-76.518374,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
203,ARF.MS2,,MS2,38.949213,-76.546948,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
204,ARF.MS2a,,MS2a,38.953185,-76.562178,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
205,ARF.MS4,,MS4,38.962661,-76.593797,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
206,ARF.MS5,,MS5,38.97503,-76.6032,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
207,ARF.Pocahontas,,Pocahontas,38.922622,-76.527222,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
208,ARF.Selby,,Selby,38.909378000000004,-76.507692,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
209,ARF.Warehouse,,Warehouse,38.941705999999996,-76.55815,20600040302,Beards Creek-South River,Anne Arundel County,MD,1
210,ARK.AR.1,,AR.1,38.9116,-76.9546,20700100204,Lower Anacostia River,District of Columbia,DC,1
211,ARK.AR.2,,AR.2,38.9098,-76.9618,20700100204,Lower Anacostia River,District of Columbia,DC,1
212,ARK.AR.3,,AR.3,38.8939,-76.9655,20700100204,Lower Anacostia River,District of Columbia,DC,1
213,ARK.AR.4,,AR.4,38.8799,-76.9709,20700100204,Lower Anacostia River,District of Columbia,DC,1
214,ARK.AR.5,,AR.5,38.87278,-77.0006,20700100204,Lower Anacostia River,District of Columbia,DC,1
215,ARK.AR.6,,AR.6,38.86535,-77.0102,20700100204,Lower Anacostia River,District of Columbia,DC,1
216,ARK.AR.7,,AR.7,38.8774,-77.0246,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
217,ARK.BWP.1,,BWP.1,38.934309999999996,-76.9388,20700100204,Lower Anacostia River,Prince George's County,MD,1
218,ARK.LBC.1,,LBC.1,38.91916,-76.90566,20700100204,Lower Anacostia River,Prince George's County,MD,1
219,ARK.NEB.1,,NEB.1,38.97623,-76.91932,20700100203,Northeast Branch Anacostia River,Prince George's County,MD,1
220,ARK.NWB.1,,NWB.1,38.98231,-76.96376,20700100201,Northwest Branch Anacostia River,Prince George's County,MD,1
221,ARK.PR.1,,PR.1,38.92586,-77.0951,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
222,ARK.PR.2,,PR.2,38.9187,-77.1031,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
223,ARK.PR.3,,PR.3,38.91583,-77.08306,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
224,ARK.PR.4,,PR.4,38.904309999999995,-77.07193000000002,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
225,ARK.PR.5,,PR.5,38.900079999999996,-77.05842,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
226,ARK.PR.6,,PR.6,38.88495,-77.0355,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
227,ARK.PR.7,,PR.7,38.87637,-77.04671,20700100103,Pimmit Run-Potomac River,District of Columbia,DC,1
228,ARK.RC.1,,RC.1,38.9832,-77.0407,20700100102,Lower Rock Creek,District of Columbia,DC,1
229,ARK.RC.2,,RC.2,38.97634,-77.0522,20700100102,Lower Rock Creek,District of Columbia,DC,1
230,ARK.RC.3,,RC.3,38.95748,-77.06218,20700100102,Lower Rock Creek,District of Columbia,DC,1
231,ARK.RC.4,,RC.4,38.9466,-77.05575,20700100102,Lower Rock Creek,District of Columbia,DC,1
232,ARK.RC.5,,RC.5,38.938309999999994,-77.05258,20700100102,Lower Rock Creek,District of Columbia,DC,1
233,ARK.RC.6,,RC.6,38.933370000000004,-77.05024,20700100102,Lower Rock Creek,District of Columbia,DC,1
234,ARK.RC.7,,RC.7,38.92176,-77.06026999999997,20700100102,Lower Rock Creek,District of Columbia,DC,1
